,title,description,originallink,link,pubDate
0,美 남서부 극심한 가뭄에 면화 수확 급감…가격은 급등,"WSJ에 따르면 면화 선물 가격은 지난주에만 13%나 급등하면서 2011년 3월 이후 주간 상승률 최고치를... 50달러를 넘어서기도 했으나, 이후 국제유가가 하락하면서 직전 고점 대비 절반 가까이 떨어진 바 있다. 미국... ",https://biz.chosun.com/international/international_economy/2022/08/17/HNDXN3QT5NE3LJQ4TWWWLEWJDY/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000834803?sid=104,"Wed, 17 Aug 2022 16:01:00 +0900"
1,유가 안정에도 천연가스는 고공…인플레이션 압력↑,반면 유가는 지난 3월 러시아의 우크라이나 침공 이후 배럴당 140달러를 훌쩍 넘겼지만 이달 들어 경기침체 우려로 80달러대로 떨어졌다. 천연가스 가격이 급등한 가장 큰 이유는 러시아가 수출량을 줄였기 때문이다.... ,http://news.heraldcorp.com/view.php?ud=20220819000122,https://n.news.naver.com/mnews/article/016/0002030370?sid=101,"Fri, 19 Aug 2022 09:55:00 +0900"
2,"미국 면화, 가뭄에 수확량 급감 전망…가격 급등","면화 선물 가격은 지난주에만 13%나 급등하면서 2011년 3월 이후 주간 상승률 최고치를 기록했다. 면화 선물... 50달러를 넘어서기도 했으나, 이후 국제유가가 하락하면서 직전 고점 대비 절반 가까이 떨어진 바 있다.... ",https://www.yna.co.kr/view/AKR20220817070700009?input=1195m,https://n.news.naver.com/mnews/article/001/0013380170?sid=104,"Wed, 17 Aug 2022 11:58:00 +0900"
3,[마켓PRO] 국제유가 약세 지속? 올 겨울 100달러 재탈환 가능성 잔존,마켓리더의 시각 황병진 NH투자증권 연구위원 지난 3월 한때 배럴당 130달러까지 돌파해 인플레이션... 상반기 유가 급등세는 러-우 사태 이후 반복되는 서방의 대러 제재가 전 세계 석유 시장의 공급 불확실성을... ,https://www.hankyung.com/finance/article/202208181353i,https://n.news.naver.com/mnews/article/015/0004738296?sid=101,"Thu, 18 Aug 2022 14:02:00 +0900"
4,"국제유가, 6개월 만에 최저치…지속 가능할까?",시장에서는 떨어진 유가가 잠재적 수요를 자극해 급등할 수 있다는 분석과 당분간 하락세가 지속될 수... 전쟁이 한창이던 3월 유가는 공급 차질 우려에 따라 한 때 배럴당 120달러 이상 거래되기도 했다. 이날 유가가... ,http://www.newsis.com/view/?id=NISX20220816_0001978956&cID=10101&pID=10100,https://n.news.naver.com/mnews/article/003/0011364317?sid=104,"Tue, 16 Aug 2022 09:38:00 +0900"
5,반년 만의 최저치 된 국제유가… 무역수지 개선될까,수입금액이 러시아의 우크라이나 침공 이후 3월부터 7월까지 5개월 연속 600억 달러대를 기록하며... 떨어진 유가가 잠재적 수요를 자극해 급등할 수 있다는 분석과 당분간 내림세가 계속될 수 있다는 전망이 교차하고... ,https://www.weeklytrade.co.kr/news/view.html?section=1&category=3&item=&no=82548,https://www.weeklytrade.co.kr/news/view.html?section=1&category=3&item=&no=82548,"Thu, 18 Aug 2022 18:12:00 +0900"
6,"원·달러 환율 급등, 제2 외환위기 우려, 브라질 투자자, 지난 한 달간 대박난...","고충 - ”유가 150달러” 전망…현재는 90달러 내외 등락 - ”비트코인 ‘제로’ 수렴”…현재는 23000달러... 달러 환율이 왜 10원 이상 급등한 것입니까? - 원·달러 환율, 7월 15일 이후 1320원대 재진입 - 외국인보다... ",https://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202208190030&t=NNv,https://n.news.naver.com/mnews/article/215/0001049394?sid=101,"Fri, 19 Aug 2022 10:02:00 +0900"
7,"일본 ONE, 高유가에도 1분기 영업익 7조 돌파","MOL·케이라인 영업익 세자릿수 폭증 북미항로 운임지수 354로 91% 급등 일본 3대 해운사(NYK MOL... 초대형유조선(VLCC)과 액화석유가스(LPG)선, 액화천연가스(LNG)선 사업에서 장기운송계약을 바탕으로... ",https://www.ksg.co.kr/news/main_newsView.jsp?pNum=135262,https://www.ksg.co.kr/news/main_newsView.jsp?pNum=135262,"Thu, 18 Aug 2022 09:12:00 +0900"
8,유가 떨어지나 했더니 천연가스 급등세 가스대국은 수출 축소 카드까지 만지작,"세계 경제 침체 우려로 국제 유가의 강세는 한풀 꺾였지만, 천연가스 가격은 여전히 가파른 상승세를... 러시아산 에너지 의존도가 높은 유럽에 러시아의 가스 공급 축소와 가격 급등은 직격탄이다. 가스프롬은 유럽행... ",http://www.smedaily.co.kr/news/articleView.html?idxno=237028,http://www.smedaily.co.kr/news/articleView.html?idxno=237028,"Fri, 19 Aug 2022 10:26:00 +0900"
9,"대한항공, 9월 항공권 유류할증료 '↓'…유가 하락 반영",유류할증료는 유가 상승에 따라 지난 3월 10단계에서 7·8월 22단계까지 올랐다. 이로 인해 최대... 최근 코로나19 방역 조치 완화로 국제선 탑승객이 늘어났지만 좌석 공급이 부족해지면서 항공권 가격이 급등했다.,https://view.asiae.co.kr/article/2022081615033030271,https://n.news.naver.com/mnews/article/277/0005133324?sid=101,"Tue, 16 Aug 2022 15:03:00 +0900"
