,title,description,originallink,link,pubDate
0,"KB증권 ""강한 경기 침체 시 유가 배럴당 66달러까지 하락""","오 연구원은 ""(속도 조절을 유발하는) 요소들이 국제 유가 하락 속도를 완만하게 할 것""이라면서도 ""경기 침체 우려가 해소되지 않은 한 국제 유가는 6월 수준으로 상승하기는 어려울 것""이라고 밝혔다.",https://www.news1.kr/articles/4777359,https://n.news.naver.com/mnews/article/421/0006285969?sid=101,"Fri, 19 Aug 2022 08:30:00 +0900"
1,[마켓PRO] 국제유가 약세 지속? 올 겨울 100달러 재탈환 가능성 잔존,경기침체 확산 우려로 6월 이후 하락한 유가 OPEC+ 공급 정책은 ‘유가 하방경직성 강화’로 방향성을 전환 OPEC(석유수출국기구) 회원국들과 러시아를 비롯한 동맹국들(이하 ‘OPEC+’)의 석유 공급 정책 방향성도... ,https://www.hankyung.com/finance/article/202208181353i,https://n.news.naver.com/mnews/article/015/0004738296?sid=101,"Thu, 18 Aug 2022 14:02:00 +0900"
2,유가 안정에도 천연가스는 고공…인플레이션 압력↑,글로벌 원유 가격이 하락했지만 천연가스 가격은 고공행진을 한 탓에 유가 하락에 따른 인플레이션 압력... 러시아는 지난 6월부터 유럽으로 가는 천연가스 파이프라인 노드스트림을 통한 수출량을 40%로 줄인 뒤 최근... ,http://news.heraldcorp.com/view.php?ud=20220819000122,https://n.news.naver.com/mnews/article/016/0002030370?sid=101,"Fri, 19 Aug 2022 09:55:00 +0900"
3,갈팡질팡 국제유가…배럴당 66~130달러 전망도 제각각,"국제유가는 6월 수준으로 상승하기는 어려울 것""이라고 말했다. 이어 ""현재 펀더멘털에서 점검한 국제유가 80달러 후반 수준은 과도한 하락은 아니라는 판단""이라며 ""원유 시장 수급 균형에 관한 전망치가 이미 전쟁... ",https://www.ebn.co.kr/news/view/1543101/?sc=Naver,https://www.ebn.co.kr/news/view/1543101/?sc=Naver,"Fri, 19 Aug 2022 11:04:00 +0900"
4,[뉴욕증시] '추가 금리 인상 예고' 7월 연준 의사록에 일제히 하락,"또 유가 하락이 단기적으로 인플레이션에 영향을 미칠 수는 있지만, 향후 급등 가능성도 여전히 존재해 인플레이션 둔화가 지속된다고 확신하기 어렵다고 덧붙였다. 연준은 6월에 이어 두 차례 연속으로 0.75%p... ",http://www.newspim.com/news/view/20220818000009,http://www.newspim.com/news/view/20220818000009,"Thu, 18 Aug 2022 05:15:00 +0900"
5,[뉴욕유가] 中성장률 우려·이란 핵합의 기대에 하락,7월 중국 소매판매 역시 전년동기 대비 2.7% 증가하면서 6월보다 낮은 수준을 기록했다. 이와 함께 중국... 아울러 이란 핵합의(JCPOA·포괄적 공동행동계획) 복원에 대한 기대도 유가 하락을 이끌었다. 이란 핵합의가... ,https://www.yna.co.kr/view/AKR20220816004700009?input=1195m,https://n.news.naver.com/mnews/article/001/0013376535?sid=104,"Tue, 16 Aug 2022 03:57:00 +0900"
6,국제 유가 우크라 전쟁 이전 수준 하락...경기 침체 우려,가능성이 유가 하락을 이끌었습니다. 이동헌 기자의 보도입니다. [기자] 현지 시간 16일 뉴욕상업거래소의... 이에 대한 검토가 진행 중입니다.] 중국의 부진한 경제 지표에 이어 미국의 7월 주택 착공 건수가 6월보다 9.6... ,https://www.ytn.co.kr/_ln/0104_202208171431430725,https://n.news.naver.com/mnews/article/052/0001777849?sid=104,"Wed, 17 Aug 2022 14:31:00 +0900"
7,"中 침체 위기에… 유가, 90달러 밑으로",‘세계의 공장’인 중국의 부진한 경제지표가 유가 하락을 이끌었다. 15일(현지시간) 미국... 이는 시장 예상치(4.5% 안팎)는 물론 봉쇄 여파가 가시지 않은 올해 6월 증가율(3.9%)보다도 낮은 수치다. 소매 판매도 2.7... ,https://www.seoul.co.kr/news/newsView.php?id=20220817014027&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003294943?sid=104,"Wed, 17 Aug 2022 05:03:00 +0900"
8,"[데이터경제] 강한 경기침체시, 국제유가 배럴당 66달러까지 하락...KB증권","오 연구원은 ""과거 경기 침체 기간, OPEC의 감산 (2008년 10~12월) 에도 국제유가는 하락세를 이어갔다""며 ""경기 침체 우려가 해소되지 않는 한, 국제유가는 6월 수준으로 상승하기는 어려울 것""으로 예상했다. 자료: EIA... ",http://www.getnews.co.kr/news/articleView.html?idxno=595724,http://www.getnews.co.kr/news/articleView.html?idxno=595724,"Fri, 19 Aug 2022 09:44:00 +0900"
9,국제 유가 우크라 전쟁 이전 수준 하락...경기 침체 우려,가능성이 유가 하락을 이끌었습니다. 이동헌 기자의 보도입니다. 현지 시간 16일 뉴욕상업거래소의 9월... 이에 대한 검토가 진행 중입니다.] 중국의 부진한 경제 지표에 이어 미국의 7월 주택 착공 건수가 6월보다 9.6... ,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202208171152196425,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202208171152196425,"Wed, 17 Aug 2022 12:22:00 +0900"
10,기름값 6주째 하락…휘발유 1700원·경유 1800원대 눈앞,경유 가격은 지난 3월11일 1818.45원을 기록한 이후 꾸준히 상승했으며 6월30일 2167.66원으로 최고가를 찍었다. 7월1일부터는 유류세 인하폭 확대 및 국제 유가 하락 여파로 5개월 전 가격인 1900원대로 떨어졌다. 전국... ,http://www.newsis.com/view/?id=NISX20220812_0001977630&cID=13001&pID=13000,https://n.news.naver.com/mnews/article/003/0011361191?sid=101,"Sat, 13 Aug 2022 00:20:00 +0900"
11,"국내 기름값 6주째 하락…이번 주 휘발유 49원, 경유 42원 내려","""당분간 하락세""…경유·휘발유 가격 차는 100원 가까이 벌어져 유류세 인하 폭 확대와 국제 유가 하락... 유류세 추가 인하 직전인 6월 30일(2천144.9원)과 비교하면 6주 새 339원 이상 내린 셈이다. 국내 최고가 지역인... ",https://www.yna.co.kr/view/AKR20220812137800003?input=1195m,https://n.news.naver.com/mnews/article/001/0013372709?sid=101,"Sat, 13 Aug 2022 06:02:00 +0900"
12,기름값 6주 연속 하락…휘발유 1700원대 눈앞,유류세 인하 폭 확대와 국제 유가 하락 등의 영향으로 국내 휘발유와 경유 가격이 6주 연속 하락세를... 역대 최고가를 찍었던 지난 6월 30일(2167.7원)과 비교하면 6주 새 264원 이상 가격이 내렸습니다. 국내 휘발유와... ,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12070655,https://n.news.naver.com/mnews/article/437/0000309712?sid=101,"Sat, 13 Aug 2022 11:35:00 +0900"
13,유가 하락에도 경유값 역전현상 여전한 이유,"국제유가가 하락세를 보이면서 국내 주유소의 기름값이 6주 연속 하락세를 이어가고 있다. 그러나 당초... 경유값은 지난 5월 11일 처음으로 휘발유값을 앞질렀는데, 6월 중순부터 빠르게 상승하면서 90원 이상의... ",http://thepublic.kr/news/newsview.php?ncode=1065579201289201,http://thepublic.kr/news/newsview.php?ncode=1065579201289201,"Thu, 18 Aug 2022 11:36:00 +0900"
14,美 7월 소매판매 6월과 동일...휘발윳값 하락 등 여파,"미국 상무부는 현지 시각 17일 지난달 소매 판매가 지난 6월과 같은 것으로 집계됐다고 밝혔습니다. 이는... 최근 유가 하락 등에 힘입어 소비자 물가 상승률이 살짝 꺾이기는 했지만, 미국의 소비자들이 여전히 높은... ",https://www.ytn.co.kr/_ln/0104_202208172247170657,https://n.news.naver.com/mnews/article/052/0001778053?sid=104,"Wed, 17 Aug 2022 22:47:00 +0900"
15,반년 만의 최저치 된 국제유가… 무역수지 개선될까,"산업통상자원부 통계에 따르면 올해 우리나라의 2분기(4~6월) 무역적자는 66억6600만 달러를 기록했으며, 7월... 이러한 상황에서 유가 하락으로 수입 부담이 덜어진다면 우리 경제의 하방 압력도 해소될 것으로 기대된다.... ",https://www.weeklytrade.co.kr/news/view.html?section=1&category=3&item=&no=82548,https://www.weeklytrade.co.kr/news/view.html?section=1&category=3&item=&no=82548,"Thu, 18 Aug 2022 18:12:00 +0900"
