,title,description,originallink,link,pubDate
0,"미국 7월 소매판매, 전월과 동일…휘발유 가격 하락 등 여파","주요 원인으로 분석된다. 상무부에 따르면 주유소 매출은 전월보다 1.8%, 자동차 및 부품 대리점 매출은... 최근 유가 하락 등에 힘입어 소비자 물가 상승률이 살짝 꺾이기는 했지만, 미국의 소비자들이 여전히 높은... ",https://www.yna.co.kr/view/AKR20220817170700072?input=1195m,https://n.news.naver.com/mnews/article/001/0013381839?sid=104,"Wed, 17 Aug 2022 22:24:00 +0900"
1,"국제유가, 中 경제지표 부진 속 하락세… WTI 2.9%↓",이처럼 유가가 하락한 것은 세계 최대 원유 수입국인 중국이 신종 코로나바이러스 감염증(코로나19) 확산 방지로 인해 경제가 부진했다는 결과가 발표된 것이 주요 원인으로 꼽힌다. 중국의 7월 산업생산은 전년... ,https://biz.chosun.com/international/international_economy/2022/08/16/JDOZSYNAMJEKFALKFREH7UWPME/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000834266?sid=104,"Tue, 16 Aug 2022 06:43:00 +0900"
2,美 7월 소매판매 6월과 동일...휘발윳값 하락 등 여파,"주요 원인으로 분석됩니다. 상무부는 주유소 매출이 전월보다 1.8%, 자동차 와 부품 대리점 매출은 전월보다... 최근 유가 하락 등에 힘입어 소비자 물가 상승률이 살짝 꺾이기는 했지만, 미국의 소비자들이 여전히 높은... ",https://www.ytn.co.kr/_ln/0104_202208172247170657,https://n.news.naver.com/mnews/article/052/0001778053?sid=104,"Wed, 17 Aug 2022 22:47:00 +0900"
3,[국제유가] 경기침체·이란 핵협상 타결 기대감… 7개월만에 최저,"유가 하락의 원인은 글로벌 경기침체로 인한 원유 수요 감소, 핵합의를 통한 이란의 원유시장 복귀로 인한... 미 상무부에 따르면 7월 주택 착공 건수는 전월보다 9.6% 급감한 145만건으로 시장 전망치 153만건을... ",http://moneys.mt.co.kr/news/mwView.php?no=2022081707521637733,https://n.news.naver.com/mnews/article/417/0000843346?sid=101,"Wed, 17 Aug 2022 07:56:00 +0900"
4,국제유가 하락…중국 경제 침체 우려·이란 핵합의 기대 영향,유가가 떨어진 건 중국의 경기 침체에 대한 우려가 주요 원인으로 분석됐습니다. 지난 7월 중국의... 이란이 핵합의 재협상에 다시 나서며 이란산 원유가 시장에 풀릴 것이란 전망 또한 유가 하락을 견인했다는 분석도... ,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12070903,https://n.news.naver.com/mnews/article/437/0000309933?sid=101,"Tue, 16 Aug 2022 07:39:00 +0900"
5,"美 7월 소매판매, 전월과 동일…휘발윳값 하락 등 여파",주요 원인으로 연합뉴스는 분석했다. 미국 주유소에 설치된 가격 표시판[AP=연합뉴스 자료 사진] 상무부에... 아마존의 '프라임 데이' 할인행사 참가 상품[CNN 캡처] 최근 유가 하락 등에 힘입어 소비자 물가 상승률이 살짝... ,http://www.getnews.co.kr/news/articleView.html?idxno=595567,http://www.getnews.co.kr/news/articleView.html?idxno=595567,"Thu, 18 Aug 2022 00:10:00 +0900"
6,中경기둔화 여진…국제유가 6개월來 최저,미국의 저조한 주택 경기도 국제유가 하락의 원인으로 작용했다. 15일(현지시간) 뉴욕상업거래소(NYMEX)에서... 파이낸셜타임스(FT)에 따르면 중국의 7월 산업생산은 지난해 같은 기간에 비해 3.8% 증가했지만 블룸버그가... ,http://news.mk.co.kr/newsRead.php?no=724433&year=2022,https://n.news.naver.com/mnews/article/009/0005005073?sid=101,"Tue, 16 Aug 2022 17:26:00 +0900"
7,"유류세 인하에도 가격상승 추자도 휘발유 미스터리, 원인은?","가격이 7월1일부터 감소세로 돌아섰다. 여기에 국제 유가 하락까지 겹치면서 유가 하락은 이어졌고 도내... E컨슈머 측은 아울러 추자도의 유가가 떨어지지 않는 원인으로, 추자도 내에 하나의 주유소 밖에 없어 독점... ",http://www.mediajeju.com/news/articleView.html?idxno=339666,http://www.mediajeju.com/news/articleView.html?idxno=339666,"Thu, 18 Aug 2022 10:06:00 +0900"
8,中 경제 위축에 국제유가 90달러 아래로,7월 소매판매 증가율(2.7%)도 로이터통신의 시장 전망치(5%)보다 2.3%포인트 낮았다. 여기에 이란 핵합의(JCPOA·포괄적 공동행동계획) 복원에 대한 기대감도 국제유가 하락의 원인이 됐다. 만약 이란 핵합의가 원만하게... ,http://www.dt.co.kr/contents.html?article_no=2022081602109958054007&ref=naver,https://n.news.naver.com/mnews/article/029/0002749251?sid=101,"Tue, 16 Aug 2022 17:26:00 +0900"
9,"[국제유가] 中 경제지표 부진에 6개월만에 최저… WTI, 2.9%↓",유가가 하락한 것은 세계 최대 원유 수입국인 중국의 경제지표가 부진한 결과를 나타내면서 원유 수요 둔화 우려가 커진 것이 주요 원인으로 꼽힌다. 중국의 7월 산업생산은 전년 동기보다 3.8% 증가해 전문가... ,http://moneys.mt.co.kr/news/mwView.php?no=2022081607540283059,https://n.news.naver.com/mnews/article/417/0000842915?sid=101,"Tue, 16 Aug 2022 07:55:00 +0900"
