"번호","지역","상호","주소","기간","상표","셀프여부","고급휘발유","휘발유","경유","실내등유"
"기준 : 일간(20220810~20220817)"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220810","S-OIL","셀프","0","1778","1878","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220811","S-OIL","셀프","0","1778","1878","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220812","S-OIL","셀프","0","1778","1878","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220813","S-OIL","셀프","0","1758","1858","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220814","S-OIL","셀프","0","1758","1858","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220815","S-OIL","셀프","0","1758","1858","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220816","S-OIL","셀프","0","1758","1858","0"
"A0033158","부산 강서구","(주)DJS신항만물류단지주유소","부산 강서구 가락대로 834 (범방동)","20220817","S-OIL","셀프","0","1758","1828","0"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220810","S-OIL","일반","0","1745","1849","0"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220811","S-OIL","일반","0","1745","1849","0"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220812","S-OIL","일반","0","1725","1835","0"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220813","S-OIL","일반","0","1715","1829","0"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220814","S-OIL","일반","0","1715","1829","1450"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220815","S-OIL","일반","0","1695","1819","1450"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220816","S-OIL","일반","0","1695","1819","1450"
"A0027485","부산 강서구","(주)경인에너지","부산 강서구 생곡로 40 (녹산동)","20220817","S-OIL","일반","0","1695","1799","1450"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220810","GS칼텍스","셀프","0","1768","1868","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220811","GS칼텍스","셀프","0","1768","1868","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220812","GS칼텍스","셀프","0","1748","1858","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220813","GS칼텍스","셀프","0","1748","1858","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220814","GS칼텍스","셀프","0","1748","1858","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220815","GS칼텍스","셀프","0","1728","1828","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220816","GS칼텍스","셀프","0","1728","1828","0"
"A0030694","부산 강서구","(주)만은에너지 대사리주유소","부산 강서구 낙동북로 65 (강동동)","20220817","GS칼텍스","셀프","0","1698","1798","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220810","SK에너지","일반","0","1749","1849","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220811","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220812","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220813","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220814","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220815","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220816","SK에너지","일반","0","1729","1829","0"
"A0027718","부산 강서구","(주)범방주유소","부산 강서구 가락대로 963","20220817","SK에너지","일반","0","1699","1799","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220810","S-OIL","셀프","2098","1798","1898","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220811","S-OIL","셀프","2098","1798","1898","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220812","S-OIL","셀프","2098","1798","1898","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220813","S-OIL","셀프","2098","1798","1898","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220814","S-OIL","셀프","2078","1778","1878","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220815","S-OIL","셀프","2078","1778","1878","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220816","S-OIL","셀프","2078","1778","1878","0"
"A0033544","부산 강서구","(주)서호주유소","부산 강서구 명지국제2로28번길 36","20220817","S-OIL","셀프","2078","1778","1878","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220810","GS칼텍스","셀프","0","1748","1849","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220811","GS칼텍스","셀프","0","1748","1849","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220812","GS칼텍스","셀프","0","1748","1849","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220813","GS칼텍스","셀프","0","1748","1849","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220814","GS칼텍스","셀프","0","1748","1849","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220815","GS칼텍스","셀프","0","1728","1829","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220816","GS칼텍스","셀프","0","1728","1829","0"
"A0027642","부산 강서구","(주)소모에너지 과학셀프주유소","부산 강서구 과학산단로 297 (지사동)","20220817","GS칼텍스","셀프","0","1728","1829","0"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220810","GS칼텍스","셀프","0","1735","1849","1700"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220811","GS칼텍스","셀프","0","1729","1839","1650"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220812","GS칼텍스","셀프","0","1705","1819","1650"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220813","GS칼텍스","셀프","0","1705","1819","1650"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220814","GS칼텍스","셀프","0","1705","1819","1650"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220815","GS칼텍스","셀프","0","1695","1819","1650"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220816","GS칼텍스","셀프","0","1685","1819","1450"
"A0033123","부산 강서구","(주)시큐 국제산단주유소","부산 강서구 생곡로 272","20220817","GS칼텍스","셀프","0","1685","1799","1450"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220810","GS칼텍스","일반","0","1798","1833","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220811","GS칼텍스","일반","0","1798","1828","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220812","GS칼텍스","일반","0","1798","1828","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220813","GS칼텍스","일반","0","1798","1828","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220814","GS칼텍스","일반","0","1798","1828","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220815","GS칼텍스","일반","0","1779","1798","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220816","GS칼텍스","일반","0","1779","1798","1500"
"A0027703","부산 강서구","(주)시큐 대저고속주유소","부산 강서구 체육공원로 66 (대저1동)","20220817","GS칼텍스","일반","0","1759","1798","1500"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220810","S-OIL","셀프","0","1737","1859","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220811","S-OIL","셀프","0","1737","1849","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220812","S-OIL","셀프","0","1737","1849","0"
"A0027628","부산 강서구","(주)우양네트웍스 구도일주유소 삼광","부산 강서구 공항로 799 (대저2동)","20220813","S-OIL","셀프","0","1715","1817","0"
