날짜,두바이_종가
2022-08-17,94.04
2022-08-16,93.46
2022-08-15,94.97
2022-08-12,96.48
2022-08-11,98.18
2022-08-10,96.87
2022-08-09,95.97
2022-08-08,96.04
2022-08-05,94.41
2022-08-04,94.08
2022-08-03,95.97
2022-08-02,99.4
2022-08-01,97.87
2022-07-29,101.52
2022-07-28,99.7
2022-07-27,99.27
2022-07-26,97.48
2022-07-25,98.13
2022-07-22,102.32
2022-07-21,102.55
2022-07-20,103.54
2022-07-19,103.78
2022-07-18,103.58
2022-07-15,101.03
2022-07-14,99.7
2022-07-13,100.0
2022-07-12,99.14
2022-07-11,104.28
2022-07-08,104.22
2022-07-07,102.02
2022-07-06,98.98
2022-07-05,100.73
2022-07-01,107.89
2022-06-30,104.83
2022-06-29,108.17
2022-06-28,109.64
2022-06-27,106.83
2022-06-24,104.64
2022-06-23,102.17
2022-06-22,112.34
2022-06-21,113.34
2022-06-17,112.72
2022-06-16,115.34
2022-06-15,114.35
2022-06-14,115.71
2022-06-13,116.64
2022-06-10,116.67
2022-06-09,117.09
2022-06-08,117.5
2022-06-07,115.29
2022-06-06,114.01
2022-06-03,113.83
2022-06-02,112.02
2022-06-01,110.91
2022-05-31,110.58
2022-05-27,110.86
2022-05-26,109.78
2022-05-25,106.92
2022-05-24,106.31
2022-05-23,107.32
2022-05-20,107.21
2022-05-19,106.99
2022-05-18,105.53
2022-05-17,106.88
2022-05-16,108.4
2022-05-13,107.23
2022-05-12,104.66
2022-05-11,104.56
2022-05-10,100.43
2022-05-09,102.79
2022-05-06,107.57
2022-05-05,106.4
2022-05-04,105.97
2022-05-03,103.39
2022-05-02,103.86
2022-04-29,103.42
2022-04-28,103.94
2022-04-27,101.51
2022-04-26,101.24
2022-04-25,98.69
2022-04-22,103.43
2022-04-21,103.85
2022-04-20,103.12
2022-04-19,103.09
2022-04-18,105.44
2022-04-14,104.82
2022-04-13,103.7
2022-04-12,101.49
2022-04-11,97.02
2022-04-08,99.72
2022-04-07,98.42
2022-04-06,98.81
2022-04-05,103.27
2022-04-04,104.77
2022-04-01,101.85
2022-03-31,101.87
2022-03-30,108.13
2022-03-29,103.81
2022-03-28,105.53
2022-03-25,113.39
2022-03-24,110.72
2022-03-23,112.59
2022-03-22,111.43
2022-03-21,111.73
2022-03-18,108.99
2022-03-17,108.78
2022-03-16,104.89
2022-03-15,105.76
2022-03-14,109.18
2022-03-11,112.59
2022-03-10,110.2
2022-03-09,110.86
2022-03-08,122.53
2022-03-07,118.18
2022-03-04,114.95
2022-03-03,106.58
2022-03-02,109.4
2022-03-01,102.0
2022-02-28,95.36
2022-02-25,91.6
2022-02-24,92.99
2022-02-23,92.16
2022-02-22,91.9
2022-02-18,90.9
2022-02-17,90.67
2022-02-16,91.56
2022-02-15,90.86
2022-02-14,92.61
2022-02-11,91.79
2022-02-10,89.92
2022-02-09,89.88
2022-02-08,89.28
2022-02-07,90.76
