일자,매매기준율
20220816,"1,308.40상승2.40"
20220815,"1,306.00상승4.50"
20220814,"1,306.00상승4.50"
20220813,"1,306.00상승4.50"
20220812,"1,306.00상승4.50"
20220811,"1,301.50하락-3.50"
20220810,"1,305.00하락-1.00"
20220809,"1,306.00상승1.50"
20220808,"1,304.50상승5.00"
20220807,"1,299.50하락-11.00"
20220806,"1,299.50하락-11.00"
20220805,"1,299.50하락-11.00"
20220804,"1,310.50하락-1.00"
20220803,"1,311.50상승2.50"
20220802,"1,309.00상승6.00"
20220801,"1,303.00하락-0.50"
20220731,"1,303.50상승2.00"
20220730,"1,303.50상승2.00"
20220729,"1,303.50상승2.00"
20220728,"1,301.50하락-12.50"
20220727,"1,314.00상승6.00"
20220726,"1,308.00하락-2.50"
20220725,"1,310.50하락-2.50"
20220724,"1,313.00상승1.00"
20220723,"1,313.00상승1.00"
20220722,"1,313.00상승1.00"
20220721,"1,312.00상승0.50"
20220720,"1,311.50상승1.00"
20220719,"1,310.50하락-5.50"
20220718,"1,316.00하락-10.00"
20220717,"1,326.00하락-1.00"
20220716,"1,326.00하락-1.00"
20220715,"1,326.00하락-1.00"
20220714,"1,327.00상승22.00"
20220713,"1,305.00하락-7.50"
20220712,"1,312.50상승7.50"
20220711,"1,305.00상승4.00"
20220710,"1,301.00상승0.50"
20220709,"1,301.00상승0.50"
20220708,"1,301.00상승0.50"
20220707,"1,300.50하락-7.00"
20220706,"1,307.50하락-2.00"
20220705,"1,309.50상승11.00"
20220704,"1,298.50상승1.50"
20220703,"1,297.00"
20220702,"1,297.00"
20220701,"1,297.00"
20220630,"1,297.00하락-1.00"
20220629,"1,298.00상승11.50"
20220628,"1,286.50상승2.50"
20220627,"1,284.00하락-11.00"
20220626,"1,295.00하락-9.00"
20220625,"1,295.00하락-9.00"
20220624,"1,295.00하락-9.00"
20220623,"1,304.00하락-0.50"
20220622,"1,304.50상승12.50"
20220621,"1,292.00하락-1.00"
20220620,"1,293.00상승1.50"
20220619,"1,291.50하락-2.00"
20220618,"1,291.50하락-2.00"
20220617,"1,291.50하락-2.00"
20220616,"1,293.50상승1.50"
20220615,"1,292.00상승5.50"
20220614,"1,286.50하락-0.50"
20220613,"1,287.00상승17.00"
20220612,"1,270.00상승13.50"
20220611,"1,270.00상승13.50"
20220610,"1,270.00상승13.50"
20220609,"1,256.50하락-0.50"
20220608,"1,257.00상승0.50"
20220607,"1,256.50상승12.50"
20220606,"1,244.00하락-6.50"
20220605,"1,244.00하락-6.50"
20220604,"1,244.00하락-6.50"
20220603,"1,244.00하락-6.50"
20220602,"1,250.50상승12.50"
20220601,"1,238.00하락-1.50"
20220531,"1,239.50하락-14.50"
20220530,"1,239.50하락-14.50"
20220529,"1,254.00하락-12.00"
20220528,"1,254.00하락-12.00"
20220527,"1,254.00하락-12.00"
20220526,"1,266.00상승2.00"
20220525,"1,264.00하락-1.00"
20220524,"1,265.00"
20220523,"1,265.00하락-4.00"
20220522,"1,269.00하락-10.00"
20220521,"1,269.00하락-10.00"
20220520,"1,269.00하락-10.00"
20220519,"1,279.00상승11.00"
20220518,"1,268.00하락-3.00"
20220517,"1,271.00하락-14.00"
20220516,"1,285.00상승2.50"
20220515,"1,282.50하락-8.00"
20220514,"1,282.50하락-8.00"
20220513,"1,282.50하락-8.00"
