,title,description,originallink,link,pubDate
0,"'통큰치킨'때 난리였는데…치킨집들 '당당치킨'엔 뜻밖 반응, 왜","사용하는 닭의 크기가 다르고, 식용유·튀김기름 등 부재료 차이도 염두에 둬야 한다고도 했다. 또 다른 업체 관계자는 “프랜차이즈마다 물류·구매 시스템 등이 달라 수익이 과도하다는 것은 일부의 얘기”라고... ",https://www.joongang.co.kr/article/25095254,https://n.news.naver.com/mnews/article/025/0003217556?sid=101,"Thu, 18 Aug 2022 16:14:00 +0900"
1,"[치킨 전쟁 민낯①]""6990원 팔아도 이익""…3만원 외친 BBQ 얼마 남기나","소비자들 사이에서도 ""그렇게 가맹점주를 걱정한다면 본사에서 가맹점에 납품하는 생닭, 파우더, 기름 등 필수 품목 가격을 낮추라""는 의견이 나왔다. 본사가 치킨 가격 탓을 하면서도 정작 필수 품목은 납품가를 올려... ",http://www.newsway.co.kr/news/view?tp=1&ud=2022081807474621520,http://www.newsway.co.kr/news/view?tp=1&ud=2022081807474621520,"Thu, 18 Aug 2022 15:24:00 +0900"
2,'쌀의 날' 걱정…가격 폭락 재고 가득 기업들이 사준다고 쌀 소비 늘어날까,"농업용 경유는 작년 7월 기준 L당 838원이었는데, 올해 7월의 경우 1651원으로 두 배 가까이 급증하면서 기름을 붓고 있다. ◆재고 쌀에 보관할 창고도 없다 지난달 기준 전국 농협 쌀 재고량은 42만8000t으로 전년(23만7000t)... ",http://www.smedaily.co.kr/news/articleView.html?idxno=236933,http://www.smedaily.co.kr/news/articleView.html?idxno=236933,"Thu, 18 Aug 2022 14:12:00 +0900"
3,‘270만호 공급’ 하향 안정화 속도 붙일까… 양극화 기름 부을수도,금리 인상기+대규모 공급책 수요자 관망세 키울 수 있어 서울 아파트값 11주째 하락 재건축 규제 완화 영향 ‘변수’ [천지일보=남승우 기자] 윤석열 정부의 첫 주택공급대책이 발표된 16일 서울 남산에서 바라본... ,http://www.newscj.com/article/20220817580528,http://www.newscj.com/article/20220817580528,"Thu, 18 Aug 2022 07:02:00 +0900"
4,"주유소 기름값 6주째 하락…휘발유 1600원, 경유 1700원대 등장",= 국제유가 하락으로 기름 값이 6주 연속 하락세를 보이고 있는 가운데 17일 대전 서구 도마동의 한 주유소에서 시민이 기름을 넣고 있다. token77@,http://www.joongdo.co.kr/web/view.php?key=20220817010004809,http://www.joongdo.co.kr/web/view.php?key=20220817010004809,"Wed, 17 Aug 2022 16:58:00 +0900"
5,내가 너를 지명하여 불렀나니 ... [짐바브웨 김문식 선교사],되어서야 기름 부음을 받습니다. 한편으로는 창피하지만 60세에도 내치지 않으시고 사용하시려고 기름을 부으시는 하나님의 은총에 그저 감사할 따름입니다. 아브라함도 창세기 12장에 하나님의 부르심에 순종하여 화란의... ,https://www.cts.tv/mission300/detail_mission/484/7261,https://www.cts.tv/mission300/detail_mission/484/7261,"Wed, 17 Aug 2022 09:28:00 +0900"
6,"드럼세탁기 또 '펑'…""구매 4개월, 면 빨래 도중 유리문 산산조각""","그러면서 ""유리를 문에 붙일 때 붙이는 면에 이물질이나 기름 성분이 있으면 접착력이 약해진다. 제조 과정에서 이런 실수가 있지 않았을까 예상한다. 지난 폭발 사건 이후로 폭발 사례가 접수된 적 없다""고 전했다.",https://www.news1.kr/articles/4774974,https://n.news.naver.com/mnews/article/421/0006281331?sid=102,"Wed, 17 Aug 2022 09:22:00 +0900"
7,[최원준의 음식 사람] <64> 포항 물회,으뜸은 기름가자미 물회 - 집집이 다른 담근 장맛도 매력 - 고깃배에서 한 끼 때우던 음식 - 전국 먹거리로... 일명 ‘돈지 물회’라 부르는 ‘문치가자미 물회’와 ‘미주구리 물회’라 부르는 ‘기름가자미 물회’가... ,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0500&key=20220817.22014003720,https://n.news.naver.com/mnews/article/658/0000017571?sid=103,"Wed, 17 Aug 2022 03:02:00 +0900"
8,[ET] “한 마리 5990원”…말복에 ‘치킨 오픈런’ 한 시간 만에 동났다,"쓰는 닭의 크기부터 기름 등이 '마트표 치킨'과는 모두 다르다는 겁니다. 여기에 프랜차이즈 매장을 운영하는데 들어가는 임대료, 인건비도 빼놓을 수 없다고 설명합니다. 치킨값이 고공행진을 하는 데는 대형... ",https://news.kbs.co.kr/news/view.do?ncd=5534062&amp;ref=A,https://n.news.naver.com/mnews/article/056/0011321685?sid=102,"Tue, 16 Aug 2022 18:01:00 +0900"
9,"""부자 감세 해주고 나라 재산 팔아서 메꾸네""",이동주 더불어민주당 의원은 지난 11일 한국자산관리공사(캠코)에서 제출받은 '매각확대 추진 국유재산 항목'을 근거로 매각추진 국유재산 9곳 가운데 6곳이 서울 강남구에 위치 건물이라고 논란에 기름을 부었다.... ,http://www.bigtanews.co.kr/news/articleView.html?idxno=11529,http://www.bigtanews.co.kr/news/articleView.html?idxno=11529,"Tue, 16 Aug 2022 10:58:00 +0900"
10,"'중국발 악재'에도 美증시 'UP', 유가 80달러대 '뚝↓'[뉴욕마감]","대신 기름을 사용해 난방을 할 수 있다""고 밝혔다. 러시아가 서방의 경제재제에 대한 보복조치로 유럽에 대한 천연가스 판매 통제를 더욱 강화함에 따라, 유럽의 전력회사들은 가스를 대체하기 위해 더 많은 기름을... ",http://news.mt.co.kr/mtview.php?no=2022081606522666192,https://n.news.naver.com/mnews/article/008/0004783133?sid=101,"Tue, 16 Aug 2022 06:58:00 +0900"
