"period","searchVolume"
"2022-02-14","3700"
"2022-02-15","3830"
"2022-02-16","3600"
"2022-02-17","3860"
"2022-02-18","3830"
"2022-02-19","3510"
"2022-02-20","3130"
"2022-02-21","4040"
"2022-02-22","4980"
"2022-02-23","4490"
"2022-02-24","12100"
"2022-02-25","9470"
"2022-02-26","5280"
"2022-02-27","4470"
"2022-02-28","6000"
"2022-03-01","4230"
"2022-03-02","6910"
"2022-03-03","6630"
"2022-03-04","8610"
"2022-03-05","8510"
"2022-03-06","8730"
"2022-03-07","19500"
"2022-03-08","30900"
"2022-03-09","31200"
"2022-03-10","42300"
"2022-03-11","75500"
"2022-03-12","61000"
"2022-03-13","47600"
"2022-03-14","63400"
"2022-03-15","49600"
"2022-03-16","40700"
"2022-03-17","31600"
"2022-03-18","24300"
"2022-03-19","19000"
"2022-03-20","16900"
"2022-03-21","21100"
"2022-03-22","20500"
"2022-03-23","17100"
"2022-03-24","16300"
"2022-03-25","14000"
"2022-03-26","12200"
"2022-03-27","10600"
"2022-03-28","12500"
"2022-03-29","11500"
"2022-03-30","9980"
"2022-03-31","10500"
"2022-04-01","12400"
"2022-04-02","7990"
"2022-04-03","7750"
"2022-04-04","9580"
"2022-04-05","11100"
"2022-04-06","7950"
"2022-04-07","7290"
"2022-04-08","6990"
"2022-04-09","5710"
"2022-04-10","4740"
"2022-04-11","5910"
"2022-04-12","5850"
"2022-04-13","5370"
"2022-04-14","5260"
"2022-04-15","4900"
"2022-04-16","4380"
"2022-04-17","3920"
"2022-04-18","4530"
"2022-04-19","4250"
"2022-04-20","4240"
"2022-04-21","4070"
"2022-04-22","4050"
"2022-04-23","3890"
"2022-04-24","3360"
"2022-04-25","4250"
"2022-04-26","4210"
"2022-04-27","4450"
"2022-04-28","4490"
"2022-04-29","6370"
"2022-04-30","9010"
"2022-05-01","16700"
"2022-05-02","11100"
"2022-05-03","7730"
"2022-05-04","6140"
"2022-05-05","5510"
"2022-05-06","5630"
"2022-05-07","5310"
"2022-05-08","5100"
"2022-05-09","7600"
"2022-05-10","7220"
"2022-05-11","7720"
"2022-05-12","7380"
"2022-05-13","6450"
"2022-05-14","5520"
"2022-05-15","5310"
"2022-05-16","6530"
"2022-05-17","6350"
"2022-05-18","5730"
"2022-05-19","6010"
"2022-05-20","6060"
"2022-05-21","5190"
"2022-05-22","4690"
"2022-05-23","6000"
"2022-05-24","6280"
"2022-05-25","7280"
"2022-05-26","8850"
"2022-05-27","6720"
"2022-05-28","5550"
"2022-05-29","4860"
"2022-05-30","6820"
"2022-05-31","6250"
"2022-06-01","5370"
"2022-06-02","6120"
"2022-06-03","6800"
"2022-06-04","6450"
"2022-06-05","5610"
"2022-06-06","6110"
"2022-06-07","8250"
"2022-06-08","9080"
"2022-06-09","9340"
"2022-06-10","10900"
"2022-06-11","10200"
"2022-06-12","10400"
"2022-06-13","15300"
"2022-06-14","14000"
"2022-06-15","12200"
"2022-06-16","12200"
"2022-06-17","12700"
"2022-06-18","11700"
"2022-06-19","12100"
"2022-06-20","15500"
"2022-06-21","13400"
"2022-06-22","12100"
"2022-06-23","11900"
"2022-06-24","11200"
"2022-06-25","10000"
"2022-06-26","9600"
"2022-06-27","12900"
"2022-06-28","11700"
"2022-06-29","11200"
"2022-06-30","14500"
"2022-07-01","26500"
"2022-07-02","13900"
"2022-07-03","10000"
"2022-07-04","11300"
"2022-07-05","10000"
"2022-07-06","15200"
"2022-07-07","12700"
"2022-07-08","9920"
"2022-07-09","8400"
"2022-07-10","6650"
"2022-07-11","10100"
"2022-07-12","13000"
"2022-07-13","10800"
"2022-07-14","10400"
"2022-07-15","9500"
"2022-07-16","7760"
"2022-07-17","6990"
"2022-07-18","8710"
"2022-07-19","8020"
"2022-07-20","7850"
"2022-07-21","7810"
"2022-07-22","8240"
"2022-07-23","7370"
"2022-07-24","5840"
"2022-07-25","7890"
"2022-07-26","7340"
"2022-07-27","7310"
"2022-07-28","7620"
"2022-07-29","7950"
"2022-07-30","6480"
"2022-07-31","5280"
"2022-08-01","7030"
"2022-08-02","6510"
"2022-08-03","5910"
"2022-08-04","5810"
"2022-08-05","6430"
"2022-08-06","5590"
"2022-08-07","4650"
"2022-08-08","5390"
"2022-08-09","4650"
