일자,원유,휘발유,경유
2022-02-14,697.6,1681.6,1513.2
2022-02-15,685.0,1686.4,1517.1
2022-02-16,689.4,1692.5,1522.9
2022-02-17,683.3,1697.0,1529.0
2022-02-18,683.6,1699.5,1532.2
2022-02-19,683.6,1702.0,1535.1
2022-02-20,683.6,1703.5,1535.9
2022-02-21,681.9,1705.9,1538.6
2022-02-22,690.3,1709.3,1543.0
2022-02-23,690.8,1711.9,1545.9
2022-02-24,704.3,1716.1,1550.1
2022-02-25,693.8,1721.9,1555.7
2022-02-26,693.8,1726.7,1560.7
2022-02-27,693.8,1727.7,1560.8
2022-02-28,722.0,1730.0,1564.1
2022-03-01,772.2,1734.3,1567.1
2022-03-02,831.7,1737.5,1571.4
2022-03-03,809.6,1749.4,1583.1
2022-03-04,879.7,1764.4,1599.3
2022-03-05,879.7,1777.5,1613.4
2022-03-06,879.7,1784.4,1620.4
2022-03-07,912.9,1810.3,1649.8
2022-03-08,952.7,1885.8,1745.6
2022-03-09,862.0,1925.6,1791.5
2022-03-10,851.6,1934.6,1805.1
2022-03-11,875.1,1954.3,1829.6
2022-03-12,875.1,1968.5,1850.4
2022-03-13,875.1,1977.4,1861.4
2022-03-14,850.6,1993.4,1883.6
2022-03-15,829.0,2004.0,1901.0
2022-03-16,814.6,2007.7,1905.6
2022-03-17,829.0,2007.0,1906.5
2022-03-18,834.1,2002.6,1902.5
2022-03-19,834.1,2001.6,1903.4
2022-03-20,834.1,2000.7,1902.9
2022-03-21,853.6,2000.1,1903.4
2022-03-22,853.4,1995.4,1898.4
2022-03-23,860.9,1993.5,1897.6
2022-03-24,852.9,1992.4,1897.7
2022-03-25,869.9,1990.8,1895.1
2022-03-26,869.9,1988.6,1893.3
2022-03-27,869.9,1988.5,1893.4
2022-03-28,813.9,1989.0,1894.9
2022-03-29,796.1,1987.6,1896.5
2022-03-30,823.1,1985.7,1894.8
2022-03-31,777.3,1984.4,1892.6
2022-04-01,780.1,1981.0,1891.3
2022-04-02,780.1,1980.3,1890.0
2022-04-03,780.1,1979.9,1889.0
2022-04-04,800.8,1978.0,1887.8
2022-04-05,788.3,1976.1,1886.2
2022-04-06,756.8,1973.3,1885.3
2022-04-07,755.6,1969.4,1883.7
2022-04-08,769.7,1967.1,1883.2
