"period","searchVolume"
"2022-02-14","4140"
"2022-02-15","4550"
"2022-02-16","4250"
"2022-02-17","4540"
"2022-02-18","5320"
"2022-02-19","6200"
"2022-02-20","5500"
"2022-02-21","4870"
"2022-02-22","4880"
"2022-02-23","4660"
"2022-02-24","5870"
"2022-02-25","6280"
"2022-02-26","6930"
"2022-02-27","5960"
"2022-02-28","5450"
"2022-03-01","5110"
"2022-03-02","4990"
"2022-03-03","5010"
"2022-03-04","6530"
"2022-03-05","7820"
"2022-03-06","7900"
"2022-03-07","9000"
"2022-03-08","13000"
"2022-03-09","14800"
"2022-03-10","14000"
"2022-03-11","20600"
"2022-03-12","22900"
"2022-03-13","16700"
"2022-03-14","16500"
"2022-03-15","15600"
"2022-03-16","14100"
"2022-03-17","11800"
"2022-03-18","10900"
"2022-03-19","11800"
"2022-03-20","10000"
"2022-03-21","9120"
"2022-03-22","9320"
"2022-03-23","8380"
"2022-03-24","8560"
"2022-03-25","8660"
"2022-03-26","10200"
"2022-03-27","9090"
"2022-03-28","7440"
"2022-03-29","6760"
"2022-03-30","6460"
"2022-03-31","6970"
"2022-04-01","8140"
"2022-04-02","8750"
"2022-04-03","7530"
"2022-04-04","6690"
"2022-04-05","7140"
"2022-04-06","6310"
"2022-04-07","6100"
"2022-04-08","6810"
"2022-04-09","8600"
"2022-04-10","6340"
"2022-04-11","5860"
"2022-04-12","5690"
"2022-04-13","5590"
"2022-04-14","5750"
"2022-04-15","6360"
"2022-04-16","7860"
"2022-04-17","6590"
"2022-04-18","5290"
"2022-04-19","5010"
"2022-04-20","4850"
"2022-04-21","5030"
"2022-04-22","5630"
"2022-04-23","7310"
"2022-04-24","6030"
"2022-04-25","5070"
"2022-04-26","4890"
"2022-04-27","5260"
"2022-04-28","5190"
"2022-04-29","6560"
"2022-04-30","8400"
"2022-05-01","21100"
"2022-05-02","14100"
"2022-05-03","11500"
"2022-05-04","10600"
"2022-05-05","9630"
"2022-05-06","9240"
"2022-05-07","11000"
"2022-05-08","9240"
"2022-05-09","8540"
"2022-05-10","8330"
"2022-05-11","9400"
"2022-05-12","9190"
"2022-05-13","9380"
"2022-05-14","10200"
"2022-05-15","9450"
"2022-05-16","8360"
"2022-05-17","7760"
"2022-05-18","7370"
"2022-05-19","7850"
"2022-05-20","8340"
"2022-05-21","9420"
"2022-05-22","8080"
"2022-05-23","6960"
"2022-05-24","7260"
"2022-05-25","8210"
"2022-05-26","8440"
"2022-05-27","8330"
"2022-05-28","9240"
"2022-05-29","7570"
"2022-05-30","6810"
"2022-05-31","7010"
"2022-06-01","7820"
"2022-06-02","6860"
"2022-06-03","8080"
"2022-06-04","9690"
"2022-06-05","7780"
"2022-06-06","8230"
"2022-06-07","7310"
"2022-06-08","8000"
"2022-06-09","8350"
"2022-06-10","10600"
"2022-06-11","12500"
"2022-06-12","10800"
"2022-06-13","10400"
"2022-06-14","10100"
"2022-06-15","8920"
"2022-06-16","9310"
"2022-06-17","11100"
"2022-06-18","12600"
"2022-06-19","10400"
"2022-06-20","9690"
"2022-06-21","9180"
"2022-06-22","9340"
"2022-06-23","8280"
"2022-06-24","10300"
"2022-06-25","12200"
"2022-06-26","9830"
"2022-06-27","9080"
"2022-06-28","8540"
"2022-06-29","8640"
"2022-06-30","9480"
"2022-07-01","26500"
"2022-07-02","19200"
"2022-07-03","12900"
"2022-07-04","11900"
"2022-07-05","10500"
"2022-07-06","11200"
"2022-07-07","10400"
"2022-07-08","10500"
"2022-07-09","13500"
"2022-07-10","9810"
"2022-07-11","9480"
"2022-07-12","10800"
"2022-07-13","10900"
"2022-07-14","12800"
"2022-07-15","12400"
"2022-07-16","14400"
"2022-07-17","11300"
"2022-07-18","10500"
"2022-07-19","10100"
"2022-07-20","10100"
"2022-07-21","10400"
"2022-07-22","11600"
"2022-07-23","14000"
"2022-07-24","10200"
"2022-07-25","10400"
"2022-07-26","9600"
"2022-07-27","9730"
"2022-07-28","10000"
"2022-07-29","12100"
"2022-07-30","12800"
"2022-07-31","9760"
"2022-08-01","12200"
"2022-08-02","10100"
"2022-08-03","9650"
"2022-08-04","9520"
"2022-08-05","9850"
"2022-08-06","11000"
"2022-08-07","8910"
"2022-08-08","8120"
"2022-08-09","7130"
