상호,주소,
(주)개금태화주유소,부산 부산진구 가야대로 402,"X :129.016910, Y :35.1514817 "
(주)경인석유,부산 남구 신선로 448 (용당동),"X :129.100468, Y :35.1248122"
(주)경인에너지,부산 강서구 생곡로 40 (녹산동),"X :128.897647, Y :35.1248039"
(주)고리길천주유소,부산 기장군 장안읍 해맞이로 487,"X :129.289381, Y :35.3315196"
(주)나부코직영 우원주유소,부산 영도구 태종로 181 (봉래동4가),"X :129.047706, Y :35.0948319"
(주)대양씨앤씨 달맞이주유소,부산 해운대구 달맞이길 57 (중동),"X :129.171037, Y :35.1615068"
(주)대양씨앤씨직영주유소,부산 동구 성남로 74 (범일동),"X :129.057211, Y :35.1310239"
㈜대운이엔지,부산 해운대구 해운대로 1178,"X :129.204286, Y :35.1899949"
㈜대운이엔지 유선주유소,부산 해운대구 해운대로 1184,"X :129.204519, Y :35.1904953"
(주)대원에너지 대원주유소,부산 동래구 충렬대로 460  (안락동),"X :129.108353, Y :35.1953432"
(주)대호석유 용당CY주유소,부산 남구 신선로 392 (용당동),"X :129.098353, Y :35.1201538"
(주)덕양에너지 직영 구덕산주유소,부산 사상구 학감대로 98 (학장동),"X :128.990145, Y :35.1405153"
㈜덕양에너지직영 굿모닝주유소,부산 사상구 학감대로 70 (학장동),"X :128.992777, Y :35.1391293"
(주)동광주유소,부산 기장군 기장읍 차성로 241,"X :129.213193, Y :35.2391237"
(주)동남주유소,부산 기장군 철마면 반송로 983,"X :129.159284, Y :35.2361683"
(주)동일주유소,부산 사상구 사상로 456,"X :128.987093, Y :35.1851372"
(주)디시에너지 대신지점,부산 서구 대영로 91,"X :129.021055, Y :35.1114279"
(주)디시에너지 운동장,부산광역시 서구  보수대로 220 (동대신제3동),"X :129.019905, Y :35.1146102"
(주)만은에너지 대사리주유소,부산 강서구 낙동북로 65 (강동동),"X :128.936877, Y :35.2185729"
(주)문화주유소,부산 남구 유엔로 155,"X :129.093011, Y :35.1304202"
(주)범방주유소,부산 강서구 가락대로 963,"X :128.884500, Y :35.1564424"
(주)부영에너지,부산 사상구 낙동대로 994 (감전동),"X :128.971730, Y :35.1493594 "
(주)부영에너지직영신일주유소,부산 서구 구덕로 273 (서대신동1가),"X :129.018771, Y :35.1086273"
(주)비에스이강동주유소,부산 강서구 낙동북로 18 (강동동),"X :128.931908, Y :35.2197156"
(주)삼보명진주유소,부산 동래구 충렬대로 51 (온천동),"X :129.066648, Y :35.2092187"
(주)삼보부림SELF주유소,부산 북구 만덕대로 343 (만덕동),"X :129.041920, Y :35.2135672"
㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),"X :129.038680, Y :35.1123765"
(주)서호주유소,부산 강서구 명지국제2로28번길 36,"X :128.909128, Y :35.0922078"
(주)성은에너지 자이언트 주유소,부산 사상구 강변대로 458 (엄궁동),"X :128.963223, Y :35.1259137"
(주)성은에너지 제3주유소,부산 사상구 강변대로 412 (엄궁동),"X :128.962073, Y :35.1223095"
(주)세왕에너지 세진주유소,부산 수영구 광남로 176 (민락동),"X :129.119585, Y :35.1565152"
(주)소모에너지 과학셀프주유소,부산 강서구 과학산단로 297 (지사동),"X :128.837117, Y :35.1486175"
